Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

453,16/09/2023 , 03:15:00,0,0
454,16/09/2023 , 03:30:00,0,0
455,16/09/2023 , 03:45:00,0,0
456,16/09/2023 , 04:00:00,0,0
457,16/09/2023 , 04:15:00,0,0
458,16/09/2023 , 04:30:00,0,0
459,16/09/2023 , 04:45:00,0,0
460,16/09/2023 , 05:00:00,0,0
461,16/09/2023 , 05:15:00,0,0
462,16/09/2023 , 05:30:00,0,0
463,16/09/2023 , 05:45:00,0,0
464,16/09/2023 , 06:00:00,0,0
465,16/09/2023 , 06:15:00,0,0
466,16/09/2023 , 06:30:00,0,0
467,16/09/2023 , 06:45:00,9,0.53
468,16/09/2023 , 07:00:00,76,4.44
469,16/09/2023 , 07:15:00,239,13.96
470,16/09/2023 , 07:30:00,393,22.96
471,16/09/2023 , 07:45:00,411,24.01
472,16/09/2023 , 08:00:00,387,22.61
473,16/09/2023 , 08:15:00,555,32.42
474,16/09/2023 , 08:30:00,750,43.81
475,16/09/2023 , 08:45:00,1154,67.41
476,16/09/2023 , 09:00:00,858,50.12
477,16/09/2023 , 09:15:00,1082,63.21
478,16/09/2023 , 09:30:00,1398,81.67
479,16/09/2023 , 09:45:00,1784,104.22
480,16/09/2023 , 10:00:00,2034,118.82
481,16/09/2023 , 10:15:00,2669,155.92
482,16/09/2023 , 10:30:00,3009,175.78
483,16/09/2023 , 10:45:00,3334,194.77
484,16/09/2023 , 11:00:00,5720,334.15
485,16/09/2023 , 11:15:00,5545,323.93
486,16/09/2023 , 11:30:00,5880,343.5
487,16/09/2023 , 11:45:00,4221,246.58
488,16/09/2023 , 12:00:00,4541,265.28
489,16/09/2023 , 12:15:00,5151,300.91
490,16/09/2023 , 12:30:00,3909,228.36
491,16/09/2023 , 12:45:00,3755,219.36
492,16/09/2023 , 13:00:00,2614,152.7
493,16/09/2023 , 13:15:00,1816,106.09
494,16/09/2023 , 13:30:00,2081,121.57
495,16/09/2023 , 13:45:00,3191,186.41
496,16/09/2023 , 14:00:00,3445,201.25
497,16/09/2023 , 14:15:00,3082,180.04
498,16/09/2023 , 14:30:00,1845,107.78
499,16/09/2023 , 14:45:00,1667,97.38
500,16/09/2023 , 15:00:00,1781,104.04
501,16/09/2023 , 15:15:00,2159,126.12
502,16/09/2023 , 15:30:00,2777,162.23
503,16/09/2023 , 15:45:00,2096,122.44
504,16/09/2023 , 16:00:00,1406,82.14
505,16/09/2023 , 16:15:00,1359,79.39
506,16/09/2023 , 16:30:00,914,53.39
507,16/09/2023 , 16:45:00,459,26.81
508,16/09/2023 , 17:00:00,399,23.31
509,16/09/2023 , 17:15:00,547,31.95
510,16/09/2023 , 17:30:00,705,41.18
511,16/09/2023 , 17:45:00,804,46.97
512,16/09/2023 , 18:00:00,1546,90.31
513,16/09/2023 , 18:15:00,1428,83.42
514,16/09/2023 , 18:30:00,845,49.36
515,16/09/2023 , 18:45:00,434,25.35
516,16/09/2023 , 19:00:00,198,11.57
517,16/09/2023 , 19:15:00,64,3.74
518,16/09/2023 , 19:30:00,4,0.23
519,16/09/2023 , 19:45:00,0,0
520,16/09/2023 , 20:00:00,0,0
521,16/09/2023 , 20:15:00,0,0
522,16/09/2023 , 20:30:00,0,0
523,16/09/2023 , 20:45:00,0,0
524,16/09/2023 , 21:00:00,0,0
525,16/09/2023 , 21:15:00,0,0
526,16/09/2023 , 21:30:00,0,0
527,16/09/2023 , 21:45:00,0,0
528,16/09/2023 , 22:00:00,0,0
529,16/09/2023 , 22:15:00,0,0
530,16/09/2023 , 22:30:00,0,0
531,16/09/2023 , 22:45:00,0,0
532,16/09/2023 , 23:00:00,0,0
533,16/09/2023 , 23:15:00,0,0
534,16/09/2023 , 23:30:00,0,0
535,16/09/2023 , 23:45:00,0,0
536,16/09/2023 , 24:00:00,0,0
537,17/09/2023 , 00:15:00,0,0
538,17/09/2023 , 00:30:00,0,0
539,17/09/2023 , 00:45:00,0,0
540,17/09/2023 , 01:00:00,0,0
541,17/09/2023 , 01:15:00,0,0
542,17/09/2023 , 01:30:00,0,0
543,17/09/2023 , 01:45:00,0,0
544,17/09/2023 , 02:00:00,0,0
545,17/09/2023 , 02:15:00,0,0
546,17/09/2023 , 02:30:00,0,0
547,17/09/2023 , 02:45:00,0,0
548,17/09/2023 , 03:00:00,0,0
549,17/09/2023 , 03:15:00,0,0
550,17/09/2023 , 03:30:00,0,0
551,17/09/2023 , 03:45:00,0,0
552,17/09/2023 , 04:00:00,0,0
553,17/09/2023 , 04:15:00,0,0
554,17/09/2023 , 04:30:00,0,0
555,17/09/2023 , 04:45:00,0,0
556,17/09/2023 , 05:00:00,0,0
557,17/09/2023 , 05:15:00,0,0
558,17/09/2023 , 05:30:00,0,0
559,17/09/2023 , 05:45:00,0,0
560,17/09/2023 , 06:00:00,0,0
561,17/09/2023 , 06:15:00,0,0
