Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

366,20/09/2023 , 14:30:00,6,0.4
367,20/09/2023 , 14:35:00,10,0.7
368,20/09/2023 , 14:40:00,21,1.5
369,20/09/2023 , 14:45:00,21,1.5
370,20/09/2023 , 14:50:00,20,1.5
371,20/09/2023 , 14:55:00,15,1.1
372,20/09/2023 , 15:00:00,13,1
373,20/09/2023 , 15:05:00,12,0.9
374,20/09/2023 , 15:10:00,12,0.9
375,20/09/2023 , 15:15:00,12,0.9
376,20/09/2023 , 15:20:00,12,0.9
377,20/09/2023 , 15:25:00,11,0.8
378,20/09/2023 , 15:30:00,12,0.9
379,20/09/2023 , 15:35:00,13,1
380,20/09/2023 , 15:40:00,14,1
381,20/09/2023 , 15:45:00,13,1
382,20/09/2023 , 15:50:00,11,0.8
383,20/09/2023 , 15:55:00,11,0.8
384,20/09/2023 , 16:00:00,0,0
